,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
6274,Rio de Janeiro,67.0,2.0,1.0,0.0,4,acept,not furnished,810.0,1529.0,80.0,17.0,2436.0
6275,São Paulo,220.0,4.0,3.0,,11,acept,furnished,,3000.0,,39.0,5839.0
6276,Campinas,80.0,3.0,2.0,2.0,17,acept,,,,175.0,32.0,3267.0
6277,São Paulo,57.0,,1.0,1.0,5,acept,not furnished,769.0,4800.0,194.0,61.0,5824.0
6278,Porto Alegre,100.0,2.0,2.0,2.0,-,acept,,120.0,2200.0,159.0,,2512.0
6279,Rio de Janeiro,60.0,1.0,1.0,0.0,5,acept,not furnished,500.0,750.0,100.0,,1360.0
6280,Campinas,,3.0,2.0,1.0,12,acept,furnished,870.0,,100.0,19.0,2439.0
6281,São Paulo,530.0,4.0,4.0,6.0,-,acept,not furnished,0.0,9520.0,1334.0,144.0,11000.0
6282,São Paulo,35.0,1.0,1.0,0.0,-,acept,not furnished,0.0,700.0,80.0,11.0,791.0
6283,São Paulo,,3.0,,2.0,-,acept,not furnished,0.0,3000.0,2500.0,46.0,5546.0
6284,São Paulo,45.0,2.0,2.0,0.0,-,not acept,not furnished,0.0,1630.0,84.0,25.0,1739.0
6285,São Paulo,,1.0,1.0,1.0,12,acept,furnished,1000.0,3500.0,171.0,45.0,
6286,São Paulo,140.0,3.0,3.0,1.0,1,acept,not furnished,1144.0,1360.0,256.0,18.0,2778.0
6287,Belo Horizonte,80.0,3.0,2.0,1.0,7,acept,not furnished,,,152.0,27.0,2999.0
6288,São Paulo,50.0,1.0,1.0,0.0,-,not acept,not furnished,0.0,,50.0,,
6289,São Paulo,,3.0,2.0,2.0,12,not acept,not furnished,900.0,2900.0,202.0,37.0,4039.0
6290,São Paulo,60.0,3.0,1.0,1.0,15,acept,furnished,556.0,2200.0,4.0,,2791.0
6291,São Paulo,30.0,1.0,1.0,1.0,14,not acept,,460.0,3500.0,100.0,45.0,4105.0
6292,São Paulo,110.0,3.0,3.0,,2,acept,furnished,1000.0,3800.0,192.0,49.0,5041.0
6293,Rio de Janeiro,70.0,2.0,1.0,1.0,5,acept,furnished,,1100.0,84.0,15.0,2042.0
6294,São Paulo,360.0,3.0,5.0,4.0,22,acept,not furnished,,3635.0,,47.0,7656.0
6295,Campinas,348.0,3.0,3.0,3.0,-,acept,not furnished,0.0,6000.0,350.0,91.0,6441.0
6296,,270.0,3.0,4.0,3.0,10,acept,not furnished,3809.0,7900.0,,101.0,13600.0
6297,Rio de Janeiro,86.0,2.0,,1.0,1,not acept,furnished,1500.0,5500.0,375.0,71.0,7446.0
6298,São Paulo,100.0,3.0,4.0,2.0,6,not acept,not furnished,1380.0,,470.0,39.0,4889.0
6299,São Paulo,,1.0,1.0,1.0,10,acept,furnished,574.0,1850.0,0.0,24.0,2448.0
6300,São Paulo,146.0,3.0,4.0,3.0,20,acept,furnished,1540.0,10000.0,667.0,127.0,12330.0
6301,Belo Horizonte,100.0,3.0,,1.0,1,acept,not furnished,350.0,1600.0,120.0,22.0,2092.0
6302,Rio de Janeiro,185.0,3.0,2.0,1.0,3,acept,not furnished,2488.0,6900.0,0.0,89.0,9477.0
6303,São Paulo,300.0,,5.0,2.0,7,acept,not furnished,0.0,4600.0,609.0,70.0,5279.0
6304,São Paulo,120.0,,4.0,0.0,-,,not furnished,250.0,3200.0,,41.0,3717.0
6305,,195.0,3.0,3.0,2.0,-,acept,not furnished,0.0,2990.0,330.0,,3365.0
6306,São Paulo,110.0,1.0,3.0,2.0,6,acept,not furnished,1500.0,8000.0,417.0,102.0,10020.0
6307,São Paulo,210.0,3.0,3.0,3.0,17,acept,not furnished,2300.0,7000.0,717.0,89.0,10110.0
6308,Campinas,400.0,4.0,6.0,3.0,-,acept,not furnished,1200.0,6800.0,700.0,103.0,8803.0
6309,Belo Horizonte,42.0,2.0,1.0,,4,acept,not furnished,175.0,,63.0,10.0,938.0
6310,Belo Horizonte,180.0,3.0,1.0,0.0,-,acept,not furnished,0.0,3400.0,367.0,56.0,3823.0
6311,Campinas,329.0,4.0,2.0,2.0,9,,not furnished,2040.0,,420.0,80.0,8840.0
6312,São Paulo,44.0,1.0,1.0,0.0,,acept,not furnished,100.0,1400.0,0.0,18.0,1518.0
6313,Belo Horizonte,28.0,1.0,1.0,1.0,-,not acept,furnished,,1250.0,0.0,,1817.0
6314,,90.0,3.0,2.0,1.0,2,not acept,furnished,1000.0,3800.0,310.0,49.0,5159.0
6315,São Paulo,90.0,2.0,1.0,0.0,2,acept,not furnished,622.0,2150.0,212.0,28.0,3012.0
6316,São Paulo,200.0,2.0,1.0,0.0,-,acept,not furnished,0.0,2800.0,,43.0,3134.0
6317,Porto Alegre,240.0,3.0,4.0,3.0,-,acept,not furnished,0.0,6000.0,184.0,107.0,6291.0
6318,Porto Alegre,55.0,2.0,1.0,0.0,19,acept,not furnished,500.0,1200.0,84.0,18.0,1802.0
6319,,90.0,3.0,,0.0,8,not acept,not furnished,630.0,4200.0,150.0,56.0,
6320,São Paulo,85.0,3.0,1.0,2.0,6,acept,not furnished,955.0,1900.0,270.0,25.0,3150.0
6321,São Paulo,255.0,4.0,4.0,3.0,,acept,furnished,0.0,11900.0,0.0,151.0,12050.0
6322,São Paulo,280.0,5.0,2.0,,-,acept,not furnished,0.0,8000.0,,121.0,8121.0
6323,,32.0,1.0,1.0,0.0,8,acept,not furnished,574.0,,66.0,19.0,2059.0
6324,Belo Horizonte,29.0,1.0,,0.0,1,not acept,,0.0,1100.0,8.0,15.0,1123.0
6325,,48.0,,1.0,1.0,15,acept,furnished,487.0,3000.0,142.0,39.0,3668.0
6326,Campinas,170.0,3.0,2.0,2.0,-,acept,not furnished,0.0,2300.0,98.0,35.0,2433.0
6327,Belo Horizonte,,1.0,1.0,1.0,,not acept,furnished,300.0,3000.0,0.0,40.0,3340.0
6328,Campinas,,4.0,6.0,4.0,-,acept,not furnished,660.0,13000.0,608.0,196.0,
6329,Porto Alegre,80.0,2.0,2.0,0.0,-,acept,furnished,330.0,1638.0,0.0,19.0,1987.0
6330,Rio de Janeiro,153.0,,2.0,1.0,2,acept,not furnished,1500.0,,157.0,33.0,4240.0
6331,Rio de Janeiro,120.0,3.0,,1.0,2,acept,not furnished,1260.0,2200.0,0.0,29.0,3489.0
6332,,33.0,1.0,1.0,0.0,,acept,not furnished,350.0,1650.0,0.0,21.0,2021.0
6333,São Paulo,180.0,4.0,4.0,2.0,10,acept,not furnished,1900.0,5500.0,507.0,70.0,7977.0
6334,Campinas,84.0,3.0,1.0,1.0,3,acept,not furnished,950.0,1200.0,147.0,16.0,
6335,São Paulo,73.0,3.0,2.0,1.0,12,acept,not furnished,,2700.0,171.0,,3829.0
6336,São Paulo,50.0,1.0,2.0,,,not acept,,850.0,3000.0,210.0,39.0,4099.0
6337,São Paulo,40.0,,,1.0,5,not acept,not furnished,603.0,4320.0,181.0,55.0,5159.0
6338,São Paulo,216.0,3.0,4.0,4.0,7,acept,furnished,2300.0,15000.0,900.0,191.0,18390.0
6339,São Paulo,,1.0,1.0,1.0,8,acept,not furnished,,2300.0,70.0,30.0,2880.0
6340,Belo Horizonte,120.0,3.0,2.0,2.0,1,not acept,not furnished,318.0,1700.0,331.0,23.0,2372.0
6341,Porto Alegre,150.0,3.0,3.0,2.0,10,acept,furnished,1300.0,8900.0,250.0,130.0,10580.0
6342,São Paulo,136.0,3.0,2.0,3.0,12,acept,furnished,1400.0,2500.0,325.0,32.0,4257.0
6343,Porto Alegre,,1.0,1.0,,2,acept,not furnished,400.0,1000.0,25.0,15.0,1440.0
6344,São Paulo,100.0,2.0,1.0,,5,acept,furnished,1400.0,3800.0,234.0,,5483.0
6345,São Paulo,50.0,2.0,1.0,,1,acept,not furnished,496.0,1200.0,0.0,16.0,1712.0
6346,Campinas,60.0,2.0,1.0,0.0,-,not acept,not furnished,,800.0,138.0,13.0,951.0
6347,Rio de Janeiro,125.0,3.0,2.0,1.0,5,acept,furnished,1460.0,3500.0,295.0,46.0,5301.0
6348,Rio de Janeiro,28.0,1.0,1.0,0.0,1,acept,not furnished,450.0,1870.0,0.0,25.0,2345.0
6349,Porto Alegre,78.0,2.0,1.0,0.0,3,acept,not furnished,,1480.0,32.0,22.0,1814.0
6350,Porto Alegre,46.0,1.0,1.0,0.0,6,acept,,345.0,850.0,27.0,13.0,1235.0
6351,São Paulo,35.0,1.0,1.0,1.0,8,not acept,furnished,593.0,2896.0,78.0,37.0,3604.0
6352,São Paulo,104.0,3.0,2.0,2.0,2,acept,not furnished,1500.0,4200.0,432.0,54.0,6186.0
6353,São Paulo,215.0,3.0,3.0,2.0,1,not acept,furnished,3000.0,15000.0,834.0,191.0,19030.0
6354,Campinas,100.0,3.0,2.0,2.0,-,acept,not furnished,0.0,,15.0,34.0,2299.0
6355,Belo Horizonte,30.0,1.0,1.0,1.0,-,not acept,not furnished,0.0,705.0,0.0,10.0,715.0
6356,,43.0,1.0,1.0,0.0,3,acept,furnished,250.0,1500.0,25.0,22.0,1797.0
6357,São Paulo,234.0,3.0,4.0,,13,acept,not furnished,2400.0,7000.0,,89.0,9573.0
6358,São Paulo,,1.0,1.0,,4,acept,furnished,1320.0,1730.0,142.0,22.0,3214.0
6359,São Paulo,50.0,2.0,1.0,,1,acept,not furnished,54.0,2000.0,42.0,26.0,
6360,Rio de Janeiro,71.0,2.0,2.0,1.0,12,acept,furnished,1170.0,3500.0,,46.0,
6361,São Paulo,118.0,3.0,3.0,2.0,,acept,furnished,1000.0,3890.0,356.0,50.0,5296.0
6362,,122.0,3.0,2.0,1.0,,acept,,250.0,1750.0,117.0,23.0,2140.0
6363,Rio de Janeiro,,,,1.0,3,acept,not furnished,,1200.0,44.0,,2005.0
6364,São Paulo,270.0,3.0,,2.0,-,acept,not furnished,0.0,9800.0,0.0,148.0,9948.0
6365,Porto Alegre,90.0,3.0,2.0,2.0,,acept,not furnished,1163.0,2500.0,202.0,37.0,3902.0
6366,São Paulo,400.0,4.0,3.0,,-,acept,not furnished,0.0,8000.0,1250.0,121.0,
6367,Campinas,155.0,3.0,3.0,,-,acept,not furnished,960.0,5500.0,15.0,83.0,6558.0
6368,Rio de Janeiro,85.0,2.0,1.0,0.0,8,acept,furnished,1500.0,2975.0,134.0,39.0,4648.0
6369,São Paulo,280.0,4.0,4.0,4.0,1,acept,furnished,,12000.0,1667.0,172.0,17440.0
6370,Rio de Janeiro,30.0,1.0,1.0,0.0,8,acept,furnished,500.0,2000.0,45.0,26.0,2571.0
6371,São Paulo,,1.0,2.0,0.0,7,,not furnished,390.0,3500.0,0.0,45.0,3935.0
6372,Porto Alegre,25.0,1.0,1.0,0.0,8,,not furnished,277.0,,27.0,11.0,1065.0
6373,Belo Horizonte,176.0,4.0,2.0,2.0,-,acept,not furnished,0.0,4500.0,,74.0,4800.0
6374,São Paulo,570.0,4.0,6.0,4.0,-,acept,not furnished,0.0,10500.0,1834.0,158.0,12490.0
6375,Belo Horizonte,95.0,2.0,2.0,1.0,10,acept,not furnished,,1600.0,170.0,22.0,2527.0
6376,São Paulo,30.0,1.0,1.0,0.0,4,acept,,250.0,1153.0,0.0,,1407.0
6377,São Paulo,250.0,3.0,4.0,3.0,-,acept,not furnished,0.0,3571.0,430.0,54.0,4055.0
6378,São Paulo,98.0,3.0,3.0,2.0,,acept,not furnished,0.0,2500.0,0.0,38.0,2538.0
6379,Belo Horizonte,68.0,2.0,,,3,acept,not furnished,168.0,800.0,59.0,11.0,1038.0
6380,São Paulo,83.0,3.0,2.0,,,acept,not furnished,804.0,3690.0,317.0,,4858.0
6381,Belo Horizonte,70.0,,2.0,2.0,6,acept,not furnished,625.0,2250.0,211.0,30.0,
6382,Belo Horizonte,50.0,2.0,1.0,1.0,,acept,not furnished,170.0,1000.0,28.0,,1212.0
6383,São Paulo,480.0,4.0,5.0,3.0,,acept,not furnished,2200.0,4100.0,1700.0,62.0,8062.0
6384,São Paulo,250.0,3.0,2.0,8.0,-,acept,not furnished,0.0,10000.0,0.0,151.0,
6385,,191.0,4.0,3.0,3.0,13,not acept,not furnished,2800.0,9500.0,1200.0,121.0,13620.0
6386,São Paulo,140.0,3.0,3.0,3.0,7,not acept,not furnished,,8000.0,800.0,102.0,11100.0
6387,São Paulo,49.0,1.0,1.0,1.0,5,acept,not furnished,284.0,2600.0,134.0,33.0,
6388,Belo Horizonte,362.0,5.0,4.0,4.0,15,not acept,not furnished,1400.0,7900.0,1504.0,,10910.0
6389,Rio de Janeiro,61.0,2.0,1.0,0.0,,acept,not furnished,,1297.0,21.0,17.0,1975.0
6390,Porto Alegre,156.0,3.0,2.0,1.0,-,,not furnished,0.0,,110.0,29.0,1754.0
6391,São Paulo,179.0,3.0,2.0,1.0,3,acept,not furnished,1457.0,5400.0,359.0,,7285.0
6392,Rio de Janeiro,120.0,,3.0,2.0,5,acept,furnished,1100.0,,150.0,37.0,4087.0
6393,Belo Horizonte,200.0,4.0,2.0,2.0,-,acept,furnished,0.0,12000.0,233.0,197.0,12430.0
6394,São Paulo,185.0,3.0,3.0,,20,acept,not furnished,2670.0,5600.0,907.0,71.0,9248.0
6395,São Paulo,120.0,2.0,2.0,0.0,1,acept,not furnished,300.0,3600.0,120.0,46.0,4066.0
6396,São Paulo,50.0,2.0,1.0,1.0,13,acept,not furnished,,,12.0,22.0,2156.0
6397,Belo Horizonte,400.0,3.0,3.0,2.0,-,acept,not furnished,,4800.0,0.0,79.0,4879.0
6398,São Paulo,240.0,,4.0,2.0,-,acept,not furnished,1.0,8200.0,625.0,124.0,8950.0
6399,São Paulo,60.0,2.0,1.0,1.0,13,acept,furnished,550.0,1520.0,80.0,,2170.0
6400,São Paulo,100.0,2.0,1.0,3.0,-,not acept,,0.0,2700.0,378.0,41.0,3119.0
6401,São Paulo,,4.0,4.0,3.0,-,not acept,not furnished,0.0,7500.0,417.0,113.0,8030.0
6402,Porto Alegre,100.0,,2.0,1.0,2,acept,not furnished,750.0,,167.0,27.0,2764.0
6403,,72.0,1.0,2.0,,6,acept,not furnished,580.0,2000.0,0.0,26.0,
6404,Rio de Janeiro,70.0,2.0,1.0,0.0,2,acept,furnished,250.0,2000.0,7.0,26.0,2283.0
6405,São Paulo,16.0,1.0,1.0,0.0,2,,not furnished,0.0,2700.0,,35.0,
6406,São Paulo,98.0,3.0,2.0,2.0,10,acept,not furnished,,4500.0,0.0,58.0,
6407,São Paulo,170.0,3.0,,1.0,6,acept,not furnished,1300.0,2060.0,200.0,27.0,3587.0
6408,São Paulo,45.0,2.0,,0.0,-,not acept,not furnished,70.0,1450.0,43.0,22.0,1585.0
6409,,,,2.0,1.0,7,acept,furnished,760.0,5500.0,142.0,70.0,6472.0
6410,São Paulo,30.0,,1.0,,11,acept,furnished,500.0,,0.0,8.0,3078.0
6411,São Paulo,140.0,3.0,3.0,2.0,3,,not furnished,2350.0,4905.0,59.0,63.0,7377.0
6412,São Paulo,90.0,2.0,2.0,2.0,2,acept,not furnished,1230.0,3640.0,342.0,47.0,5259.0
6413,Belo Horizonte,62.0,2.0,2.0,0.0,1,acept,not furnished,0.0,1300.0,0.0,18.0,1318.0
6414,,80.0,2.0,2.0,0.0,6,acept,not furnished,,2500.0,0.0,33.0,3183.0
6415,São Paulo,40.0,1.0,1.0,0.0,-,not acept,not furnished,0.0,750.0,0.0,12.0,762.0
6416,,,,1.0,,-,acept,not furnished,300.0,1800.0,30.0,24.0,2154.0
6417,São Paulo,300.0,3.0,2.0,1.0,,acept,not furnished,0.0,3900.0,538.0,59.0,4497.0
6418,São Paulo,340.0,4.0,4.0,3.0,-,acept,not furnished,0.0,10000.0,1084.0,151.0,11240.0
6419,São Paulo,72.0,2.0,2.0,1.0,6,acept,not furnished,1100.0,5270.0,334.0,67.0,6771.0
6420,São Paulo,250.0,4.0,3.0,3.0,-,,not furnished,0.0,13000.0,950.0,,14150.0
6421,Rio de Janeiro,100.0,2.0,2.0,3.0,12,not acept,not furnished,1470.0,,180.0,45.0,5173.0
6422,São Paulo,45.0,1.0,1.0,1.0,1,not acept,,3000.0,5520.0,0.0,70.0,8590.0
6423,Porto Alegre,98.0,3.0,1.0,0.0,1,not acept,not furnished,240.0,12750.0,50.0,187.0,
6424,Belo Horizonte,164.0,3.0,2.0,2.0,,acept,not furnished,0.0,3200.0,131.0,53.0,
6425,São Paulo,250.0,3.0,3.0,4.0,-,acept,furnished,250.0,6500.0,309.0,98.0,7157.0
6426,Rio de Janeiro,,1.0,1.0,0.0,3,acept,furnished,609.0,1189.0,0.0,16.0,1814.0
6427,Rio de Janeiro,60.0,2.0,1.0,0.0,11,not acept,furnished,600.0,1650.0,0.0,22.0,2272.0
6428,São Paulo,105.0,3.0,3.0,2.0,,,not furnished,1380.0,2720.0,417.0,35.0,4552.0
6429,São Paulo,220.0,2.0,,3.0,26,not acept,not furnished,2000.0,12960.0,834.0,165.0,15960.0
6430,Rio de Janeiro,250.0,5.0,3.0,1.0,-,acept,,500.0,4000.0,,61.0,4661.0
6431,São Paulo,171.0,3.0,,1.0,13,acept,not furnished,2395.0,5100.0,259.0,65.0,7819.0
6432,,156.0,,,2.0,4,acept,not furnished,1350.0,3900.0,600.0,51.0,5901.0
6433,São Paulo,150.0,3.0,,3.0,-,,furnished,0.0,4500.0,189.0,68.0,
6434,Belo Horizonte,75.0,3.0,2.0,1.0,3,acept,not furnished,500.0,1500.0,50.0,20.0,2070.0
6435,,,3.0,5.0,4.0,18,acept,not furnished,2000.0,10000.0,,127.0,13120.0
6436,São Paulo,68.0,1.0,2.0,1.0,6,,furnished,2304.0,9000.0,,115.0,
6437,São Paulo,55.0,2.0,1.0,0.0,5,not acept,not furnished,337.0,1528.0,,20.0,1885.0
6438,Porto Alegre,40.0,1.0,1.0,0.0,10,acept,not furnished,200.0,800.0,,12.0,1031.0
6439,São Paulo,230.0,2.0,3.0,1.0,,acept,furnished,3000.0,12000.0,450.0,,15600.0
6440,,70.0,2.0,2.0,0.0,3,,furnished,400.0,,80.0,30.0,2505.0
6441,São Paulo,170.0,4.0,5.0,2.0,-,acept,not furnished,0.0,3700.0,0.0,56.0,3756.0
6442,Porto Alegre,40.0,1.0,1.0,1.0,1,acept,,402.0,1050.0,67.0,16.0,
6443,São Paulo,45.0,1.0,,1.0,1,not acept,,3000.0,5520.0,0.0,70.0,8590.0
6444,São Paulo,270.0,3.0,4.0,3.0,4,acept,furnished,3700.0,7500.0,1471.0,96.0,12770.0
6445,Campinas,54.0,2.0,1.0,1.0,10,acept,not furnished,320.0,1500.0,23.0,20.0,1863.0
6446,Campinas,,4.0,3.0,2.0,-,acept,not furnished,0.0,3300.0,208.0,,3558.0
6447,Belo Horizonte,86.0,2.0,1.0,,1,,not furnished,200.0,1310.0,130.0,18.0,1658.0
6448,São Paulo,77.0,2.0,1.0,1.0,5,acept,not furnished,886.0,2200.0,,28.0,3114.0
6449,São Paulo,86.0,3.0,2.0,2.0,,acept,furnished,550.0,2900.0,190.0,37.0,3677.0
6450,Campinas,200.0,3.0,4.0,2.0,4,not acept,,,2000.0,275.0,26.0,4801.0
6451,São Paulo,90.0,2.0,2.0,2.0,16,not acept,furnished,867.0,4800.0,203.0,61.0,5931.0
6452,São Paulo,64.0,2.0,2.0,2.0,12,acept,not furnished,,3400.0,,44.0,4395.0
6453,Porto Alegre,54.0,2.0,1.0,2.0,,acept,not furnished,240.0,1310.0,30.0,,1600.0
6454,Porto Alegre,387.0,,5.0,3.0,-,acept,furnished,0.0,6000.0,,107.0,6501.0
6455,São Paulo,100.0,2.0,3.0,2.0,20,not acept,furnished,1080.0,10000.0,138.0,127.0,11350.0
6456,São Paulo,50.0,,2.0,1.0,9,acept,,390.0,1800.0,0.0,23.0,2213.0
6457,Belo Horizonte,520.0,3.0,3.0,4.0,20,not acept,not furnished,2224.0,12000.0,1133.0,160.0,15520.0
6458,São Paulo,,1.0,,0.0,25,acept,not furnished,393.0,2100.0,59.0,27.0,2579.0
6459,Rio de Janeiro,60.0,1.0,1.0,0.0,3,acept,not furnished,520.0,1580.0,0.0,21.0,2121.0
6460,,96.0,2.0,,1.0,4,not acept,not furnished,800.0,3000.0,0.0,39.0,3839.0
6461,São Paulo,140.0,3.0,1.0,0.0,-,acept,not furnished,0.0,2700.0,,41.0,2908.0
6462,Rio de Janeiro,103.0,3.0,2.0,0.0,4,acept,not furnished,812.0,2750.0,200.0,36.0,3798.0
6463,São Paulo,148.0,4.0,4.0,,10,acept,furnished,,2000.0,406.0,26.0,
6464,São Paulo,172.0,4.0,3.0,,-,acept,not furnished,0.0,3500.0,114.0,,3667.0
6465,São Paulo,93.0,2.0,3.0,2.0,5,acept,not furnished,1006.0,3200.0,350.0,41.0,4597.0
6466,São Paulo,72.0,2.0,,1.0,4,acept,not furnished,690.0,2300.0,200.0,30.0,
6467,Campinas,68.0,2.0,1.0,1.0,1,acept,not furnished,400.0,1500.0,70.0,20.0,
6468,São Paulo,350.0,4.0,3.0,4.0,-,acept,not furnished,,4000.0,209.0,61.0,4270.0
6469,Rio de Janeiro,70.0,,2.0,1.0,1,acept,furnished,950.0,3500.0,225.0,46.0,4721.0
6470,São Paulo,400.0,5.0,4.0,3.0,-,acept,not furnished,2600.0,6900.0,1017.0,104.0,10620.0
6471,Porto Alegre,38.0,1.0,,0.0,1,acept,,280.0,690.0,9.0,11.0,990.0
6472,São Paulo,107.0,2.0,2.0,1.0,12,not acept,not furnished,1300.0,8400.0,293.0,107.0,10100.0
6473,São Paulo,38.0,,1.0,,1,not acept,not furnished,60.0,,0.0,13.0,
6474,São Paulo,111.0,,2.0,0.0,7,acept,not furnished,,2500.0,,32.0,4166.0
6475,São Paulo,140.0,4.0,3.0,2.0,10,acept,,2000.0,3800.0,334.0,49.0,6183.0
6476,São Paulo,,1.0,1.0,0.0,,acept,not furnished,0.0,1150.0,30.0,15.0,1195.0
6477,São Paulo,178.0,3.0,3.0,4.0,,not acept,furnished,,15000.0,850.0,191.0,18220.0
6478,São Paulo,200.0,2.0,2.0,1.0,10,acept,furnished,2700.0,9500.0,600.0,121.0,12920.0
6479,São Paulo,33.0,1.0,1.0,0.0,1,not acept,,338.0,1000.0,63.0,13.0,1414.0
6480,Belo Horizonte,90.0,3.0,2.0,1.0,2,not acept,not furnished,300.0,,140.0,22.0,2062.0
6481,Rio de Janeiro,65.0,2.0,1.0,0.0,1,,not furnished,560.0,1600.0,,21.0,2248.0
6482,São Paulo,320.0,3.0,3.0,8.0,-,acept,not furnished,,5500.0,572.0,83.0,6155.0
6483,Porto Alegre,68.0,2.0,1.0,0.0,2,acept,not furnished,160.0,1320.0,,20.0,1526.0
6484,Porto Alegre,180.0,6.0,2.0,3.0,1,acept,not furnished,0.0,4800.0,242.0,71.0,5113.0
6485,São Paulo,50.0,2.0,1.0,1.0,-,not acept,not furnished,,1300.0,69.0,20.0,1389.0
6486,São Paulo,137.0,3.0,2.0,1.0,6,acept,not furnished,1480.0,4700.0,293.0,60.0,6533.0
6487,,165.0,3.0,2.0,2.0,8,acept,furnished,1750.0,6500.0,779.0,83.0,9112.0
6488,São Paulo,180.0,2.0,,1.0,15,acept,not furnished,1800.0,5350.0,0.0,68.0,7218.0
6489,São Paulo,220.0,4.0,4.0,3.0,12,acept,not furnished,3600.0,5100.0,,65.0,
6490,Belo Horizonte,85.0,2.0,2.0,1.0,1,acept,not furnished,541.0,2800.0,,38.0,3379.0
6491,Rio de Janeiro,37.0,1.0,,0.0,8,not acept,furnished,700.0,,,19.0,2328.0
6492,,64.0,2.0,3.0,2.0,2,acept,not furnished,400.0,2750.0,113.0,41.0,
6493,Rio de Janeiro,97.0,2.0,2.0,1.0,7,acept,not furnished,1770.0,4400.0,334.0,57.0,
6494,Belo Horizonte,90.0,3.0,2.0,1.0,1,,not furnished,135.0,,115.0,18.0,1568.0
6495,Rio de Janeiro,130.0,3.0,2.0,1.0,9,acept,not furnished,1350.0,4500.0,209.0,58.0,6117.0
6496,Campinas,128.0,4.0,2.0,1.0,7,not acept,not furnished,900.0,3400.0,59.0,44.0,4403.0
6497,São Paulo,58.0,2.0,2.0,1.0,12,not acept,,928.0,4000.0,256.0,51.0,5235.0
6498,Belo Horizonte,76.0,2.0,1.0,1.0,2,not acept,not furnished,,900.0,0.0,12.0,
6499,São Paulo,220.0,2.0,4.0,2.0,-,acept,furnished,0.0,6200.0,1200.0,94.0,7494.0
6500,São Paulo,40.0,1.0,1.0,0.0,-,not acept,not furnished,30.0,780.0,17.0,12.0,839.0
6501,São Paulo,235.0,3.0,4.0,3.0,2,acept,not furnished,,2550.0,1000.0,33.0,
6502,Belo Horizonte,45.0,1.0,1.0,0.0,9,acept,not furnished,,1100.0,55.0,15.0,1455.0
6503,São Paulo,,2.0,1.0,1.0,4,not acept,,580.0,1100.0,0.0,14.0,1694.0
6504,Belo Horizonte,471.0,5.0,6.0,3.0,,acept,not furnished,0.0,14000.0,,230.0,15530.0
6505,Campinas,50.0,1.0,,0.0,4,acept,not furnished,418.0,520.0,,7.0,968.0
6506,Belo Horizonte,344.0,3.0,4.0,4.0,16,not acept,not furnished,3158.0,15000.0,1231.0,200.0,19590.0
6507,São Paulo,38.0,1.0,1.0,1.0,12,not acept,furnished,353.0,1850.0,28.0,24.0,2255.0
6508,,42.0,2.0,1.0,0.0,,acept,not furnished,0.0,860.0,,16.0,889.0
6509,,60.0,1.0,1.0,1.0,9,acept,not furnished,270.0,1400.0,101.0,19.0,1790.0
6510,São Paulo,500.0,4.0,6.0,4.0,-,acept,not furnished,0.0,13000.0,2200.0,196.0,
6511,,49.0,2.0,,1.0,5,acept,not furnished,300.0,1700.0,21.0,22.0,2043.0
6512,Belo Horizonte,48.0,2.0,1.0,1.0,3,acept,not furnished,120.0,900.0,96.0,12.0,1128.0
6513,São Paulo,45.0,2.0,1.0,,-,,,0.0,1300.0,109.0,20.0,1429.0
6514,Porto Alegre,72.0,2.0,2.0,1.0,2,,not furnished,570.0,1200.0,60.0,18.0,1848.0
6515,,400.0,3.0,2.0,,-,acept,not furnished,0.0,1600.0,258.0,27.0,1885.0
6516,São Paulo,28.0,1.0,1.0,0.0,1,,furnished,0.0,1750.0,0.0,23.0,1773.0
6517,Rio de Janeiro,189.0,3.0,,2.0,9,,not furnished,2500.0,8500.0,489.0,110.0,11600.0
6518,São Paulo,160.0,3.0,2.0,0.0,12,acept,not furnished,1239.0,3900.0,150.0,50.0,5339.0
6519,Rio de Janeiro,330.0,4.0,4.0,2.0,21,acept,not furnished,1300.0,15000.0,1084.0,110.0,17490.0
6520,São Paulo,200.0,3.0,5.0,4.0,6,,not furnished,1970.0,1720.0,959.0,22.0,4671.0
6521,São Paulo,375.0,4.0,5.0,5.0,1,acept,not furnished,4793.0,15000.0,2805.0,191.0,22790.0
6522,São Paulo,68.0,,2.0,1.0,7,acept,furnished,489.0,1877.0,0.0,,2390.0
6523,São Paulo,70.0,2.0,,1.0,8,acept,,850.0,2500.0,92.0,,3474.0
6524,Rio de Janeiro,110.0,3.0,2.0,0.0,10,not acept,furnished,1260.0,2950.0,303.0,39.0,4552.0
6525,São Paulo,103.0,3.0,3.0,2.0,7,not acept,not furnished,1470.0,5600.0,330.0,71.0,7471.0
6526,Rio de Janeiro,26.0,,1.0,0.0,2,not acept,not furnished,,,59.0,20.0,1629.0
6527,Belo Horizonte,88.0,3.0,2.0,2.0,2,not acept,not furnished,312.0,1200.0,109.0,16.0,1637.0
6528,São Paulo,165.0,3.0,4.0,3.0,7,acept,not furnished,1700.0,4500.0,573.0,58.0,6831.0
6529,São Paulo,80.0,,2.0,0.0,-,not acept,not furnished,0.0,1100.0,,17.0,
